Group,n,Mean,SD,Median,Min,Max,Range,Skew,Kurtosis,SE
Hybrid,109,77.09,10.09,78.31,48.34,96.68,48.34,-0.66,0.06,0.97
Online,94,73.64,14.90,76.64,0.00,94.99,94.99,-2.55,10.16,1.54
Traditional,120,78.55,9.56,79.99,54.95,96.68,41.73,-0.40,-0.67,0.87
